,answers,id,questions,target_answers,score,correct
1362,Not all people are pleasant ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1363,Happiness does not depend on the number of people but of the quality of them. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1364,Some people generate discomfort with their presence. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1365,Not all of us who are happiness. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1366,Some people rejoice with their presence while others produce discomfort. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1367,Some people do not generate the same perception. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1368,The presence of a person can cause happiness or not. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1369,That sometimes one is happier being away from people ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,1.0
1370,"There are people with whom it is well to spend moments, and others can really be hostile with those around them. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1371,Happiness depends on others ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,1.5,0.0
1372,People are nice or not ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1373,Some people cause happiness and others when they disappear ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1374,The presence or absence of people can cause happiness. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1375,There are people who only bring bad things to the lives of others ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1376,There are toxic people. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,1.5,0.0
1377,There are people who cause happiness and other sorrows ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1378,There are people who cause happiness and others that do not ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,0.0
1379,Some people subtract more than they add. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1380,There are people who make you happy while with you but others do not. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1381,Not all people are able to contribute good things ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1382,"There are people who heal that are light, on the other hand there are others that damage and take peace. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1383,Everything happens for a reason. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,0.0,0.0
1384,That happiness is next to another person. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1385,"There are good companies, others do not ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1386,Some people do not generate happiness ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1387,There are people who must stay away ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1388,Not all company is pleasant ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1389,That when a person who does not like this can give you happiness ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,1.0
1390,"Some people add to our lives and others subtract, so when they take advantage of the subject's well-being. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,4.0,1.0
1391,Some people are nice when they are present and others do not ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1392,"In some cases the presence of people cause joy, in other cases it is better the distance towards people who do not do well. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1393,"Sometimes, some people cause more misery until they leave, but others remedy when they arrive ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,4.0,1.0
1394,There are undesirable people that preferably it is better not to have them nearby ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1395,There are people who do not fall well and when they leave it's joy ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,1.0
1396,"Depending on the personality and attitude we have, the person around us will be happy or not of terrains in your life ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1397,There are people who are better to have them by far ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1398,Not all people offer peace and not all know how to receive them ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1399,In the world there are toxic people. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1400,"Some people bring joy to our lives and others, always the opposite, so the only time good that they leave these in our lives is when they leave ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,4.0,1.0
1401,The person can be a cause of advocacy or bitterness ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1402,The attitude of people defines the impact they have over others ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1403,There are people who cause happiness and others cause discomfort ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1404,The aura of each person is different. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1405,There are nice and unpleasant people ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1406,Not all people are healthy for your life and sometimes you have to learn to let go. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1407,Some people can get to be toxic. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1408,When the person feels peace and tranquility if he moves away from a person or feels the same if a person arrives ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,1.0
1409,Some people contribute and others subtract ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1410,"It is good that certain people come out of our lives, they arrive others who cheer up our lives only with their company ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.5,1.0
1411,Happiness is not always next to someone. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1412,There are people who come to our lives to cheer up and others to torment us ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,1.0
1413,"A person who does not contribute anything, contributes more when he leaves. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,1.0
1414,"Some people stay in your life, others are only part of the road. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1415,Your acts will be reproached or celebrated even in your absence. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,0.0,0.0
1416,It is better to let go to bad people ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.0,0.0
1417,Sometimes we are happier when something that hurts us gives away from our lives ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1418,That there are people who are not good ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1419,"Not all people cause happiness in the same sense, some when they are in someone's life, others when they leave. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,4.0,1.0
1420,That there are undesirable people who generate happiness in their absence and there are others whose presence generates happiness and their absence causes sadness ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,4.5,1.0
1421,There are good people and bad people ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1422,There are people who do not need in life to be happy ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1423,There are people who do not contribute anything positive ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1424,Not all people are good company. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1425,There are people who harm your life. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1426,Contempt ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,0.0,0.0
1427,The presence of some people does not make us happy. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1428,The one way or coming of someone can cause happiness. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,1.0
1429,No everyone may seem nice the presence of a person. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1430,Some people generate sadness with their presence ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1431,There are people who contagiate positive vibes and on the contrary people who annoy. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,1.0
1432,We must look for others to be happy with our presence. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,1.5,0.0
1433,There are people who do not agree on our lives ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1434,"The company of some is like a disease, when you go feel a relief. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1435,"Not all people are graceful enough to brighten someone, not everyone has a noble heart or convey good energies. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1436,It is better not to have a bad company ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,1.5,0.0
1437,People can cause feelings when living with another. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,1.5,0.0
1438,There are people who make you happy when they go ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1439,"Some people are better to have them away, because they are the cause of many stagnation. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1440,"Some people do rather, going to stay ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1441,Let go to what hurt us ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,1.5,0.0
1442,there are people who happy others who bother ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1443,"Some things are better when they get to your life, others when they are no longer. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,1.0
1444,Between being the soul of the party and the weathered. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,0.0,0.0
1445,Depending on the type of person you are wanting to stay or that you are going ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,1.0
1446,Happiness depends on the person and his personality ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,1.0
1447,"All the people who come to the life of another have a good or bad purpose, sometimes it is if it is fulfilled but there are other times that no and in the end it will be better to get away from these that do not contribute enough. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1448,There are good and bad companies. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,0.0
1449,There are people who cause more peace of mind when they leave your life. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1450,Not all people are just as positive. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1451,"Sometimes the departure or absence of some people cause us happiness, because these people are a cause of sadness or pain. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,4.0,1.0
1452,"There are annoying or hateful people that we prefer far, but there are also beings that make us happy and we want them close forever. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,4.0,1.0
1453,There are people due to their negative attitudes cause relief when they leave ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,1.0
1454,There are people who agree more to have them away. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1455,There are toxic people that nothing good contribute to a relationship. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1456,There are such bad and unpleasant people that their absence is more pleasant than their presence. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1457,"Many times it is a relief, and even cause happiness, when someone is going that does not do it well to others. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,3.0,1.0
1458,"Some people cause suffering and discomfort, in such a way that when they leave, relief and joy is generated. ",8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,1.0
1459,There are people who love the lives of others and others that make it easier to cope with. ,8,"Some people cause happiness to where they go; others, when they leave. Of the text it is inferred that ",Equip the typology of people who spread happiness with which they subtract it ,2.5,0.0
1460,Let's really feed ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1461,The food we eat must be chosen with such care that is as good for our health as a medication. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.5,1.0
1462,"It refers to eating to be fine, feeling healthy ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1463,Invites us to eat healthy ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.5,1.0
1464,Make known what is really necessary ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,1.0,0.0
1465,The food is important for health. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1466,The importance of food to heal ourselves ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1467,The pleasures that are in the food to be healthy ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1468,Know what to eat ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1469,Allude to a good food ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1470,Take care of what you eat because you are what you eat ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1471,"If you eat healthy you carry a balanced diet, the person maintains a good health. ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1472,That we must be very careful with what we eat. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1473,Foods are the basis for staying healthy ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1474,It implies that the food can help you. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,1.0
1475,Express that food is medicine. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,1.0
1476,It poses to feed as the source of health. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1477,"Take the food as a medicine, since this is definitely the one that keeps the people healthy ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1478,You have to eat properly so that our body is healthy. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1479,"He says that to maintain a healthy body, you have to know how to feed. ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1480,different types ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,0.0,0.0
1481,It means that eating does it well ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,0.0
1482,It refers to the fact that the best medicine is self-care. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1483,The food is necessary to keep us healthy ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1484,Try to influence healthy food consumption ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1485,You want us to eat healthier. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1486,The healthy food ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1487,We propose that we feed us healthy. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1488,Express that food should be a reason to keep ahead. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.0,0.0
1489,incites good food to avoid diseases ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1490,"Invites us to eat healthy, since that capable of keeping the body in a healthy way and it is necessary for all people, it is food ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1491,"Despite the bad thing that happens to you, you can always heal, it depends on one ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,0.0,0.0
1492,You have to know what you're carrying your mouth ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,1.0
1493,Search that by means of food they stay healthy. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1494,"The food is your medicine because what you consume has effects on your body, and these can be good depending on what you eat. ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1495,Refers to healthy eating ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1496,It will always be better to eat for the well-being of one ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,0.0
1497,You are what you eat ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,1.0
1498,That must be healthy ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1499,Indicates that food is medicine for the human being ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,1.0
1500,That your diet depends on your health? ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1501,The food is the remedy of your body ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1502,The food gives us life and health ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1503,The desire to live ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,1.0,0.0
1504,It implies that your health depends on how you feed yourself. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1505,What we eat allows us to nurture the body and in turn heal ourselves ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1506,We must nourish healthy. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1507,There should always be energy to do things. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,0.0,0.0
1508,The food makes one a lot of good and with the food you will have the necessary energies ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,1.0,0.0
1509,Represents food as medicine ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1510,Eating brings health. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,0.0
1511,Sets that food is the best medicine ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1512,"If you take a healthy food habit, the body will also be healthy ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,5.0,1.0
1513,It infers that good food avoids many evils. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1514,It seeks to make awareness about health and nutrition. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1515,"It does not refer to food in terms of fries, vegetables, and meat, but a balanced diet that provides good long-term health. ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1516,We must have good habits ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,0.0
1517,"He expresses that we must try to feed us with things that do us well, not with things that harm us. ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,4.0,1.0
1518,Eating well is the key to health ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.5,1.0
1519,Try to show that food is the main medicine in health ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1520,"The author indicates that food, food and medicine are closely related and if the corresponding analysis is made, the food can become our own medicine. ",9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1521,The food is medicine for the body. ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,3.0,0.0
1522,See the food as the cure to the disease ,9,"That food is your food, and the food your medicine. Of the text it is inferred that ",Persuade humanity to cultivate good feeding habits to live prolonged. ,2.5,0.0
